,athlete_age_min
0,18.0
1,10.0
2,19.0
3,10000.0
4,21.0
5,21.0
6,30.0
7,20.0
8,22.0
9,19.0
10,18.0
11,15.0
12,18.0
13,34.0
14,19.0
15,15.0
16,15.0
17,19.0
18,23.0
19,30.0
20,20.0
21,22.0
22,24.0
23,20.0
24,18.0
25,27.0
26,18.0
27,16.0
28,22.0
29,26.0
30,19.0
31,14.0
32,20.0
33,24.0
34,20.0
35,24.0
36,10000.0
37,24.0
38,24.0
39,21.0
40,20.0
41,17.0
42,16.0
43,16.0
44,18.0
45,18.0
46,16.0
47,18.0
48,18.0
49,18.0
50,10000.0
51,19.0
52,21.0
53,18.0
54,17.0
55,19.0
56,19.0
57,18.0
58,21.0
59,22.0
60,18.0
61,15.0
62,17.0
63,10000.0
64,18.0
65,19.0
66,16.0
67,19.0
68,17.0
69,18.0
70,18.0
71,23.0
72,16.0
73,20.0
74,20.0
75,23.0
76,17.0
77,18.0
78,13.0
79,15.0
80,30.0
81,17.0
82,15.0
83,18.0
84,21.0
85,14.0
86,17.0
87,13.0
88,17.0
89,18.0
90,19.0
91,22.0
92,22.0
93,20.0
94,21.0
95,26.0
96,28.0
97,10000.0
98,19.0
99,17.0
100,15.0
101,16.0
102,19.0
103,20.0
104,16.0
105,10000.0
106,21.0
107,25.0
108,18.0
109,19.0
110,19.0
111,21.0
112,16.0
113,18.0
114,23.0
115,18.0
116,24.0
117,18.0
118,29.0
119,20.0
120,10000.0
121,21.0
122,19.0
123,23.0
124,16.0
125,22.0
126,11.0
127,21.0
128,16.0
129,20.0
130,13.0
131,16.0
132,17.0
133,21.0
134,18.0
135,21.0
136,20.0
137,22.0
138,19.0
139,16.0
140,21.0
141,22.0
142,20.0
143,12.0
144,24.0
145,18.0
146,20.0
147,17.0
148,21.0
149,20.0
150,15.0
151,19.0
152,22.0
153,25.0
154,30.0
155,22.0
156,27.0
157,28.0
158,15.0
159,21.0
160,14.0
161,16.0
162,17.0
163,20.0
164,20.0
165,20.0
166,15.0
167,24.0
168,21.0
169,18.0
170,20.0
171,17.0
172,27.0
173,23.0
174,20.0
175,45.0
176,14.0
177,19.0
178,16.0
179,10000.0
180,25.0
181,19.0
182,18.0
183,27.0
184,18.0
185,14.0
186,19.0
187,17.0
188,21.0
189,19.0
190,16.0
191,16.0
192,15.0
193,18.0
194,21.0
195,37.0
196,18.0
197,16.0
198,12.0
199,22.0
200,19.0
201,13.0
202,23.0
203,21.0
204,17.0
205,18.0
206,12.0
207,19.0
208,26.0
209,26.0
210,17.0
211,24.0
212,26.0
213,19.0
214,34.0
215,30.0
216,21.0
217,19.0
218,17.0
219,17.0
220,18.0
221,24.0
222,19.0
223,17.0
224,16.0
225,19.0
226,19.0
227,25.0
228,18.0
229,18.0
230,21.0
231,19.0
232,25.0
233,29.0
234,23.0
235,10000.0
236,22.0
237,21.0
238,20.0
239,23.0
240,16.0
241,23.0
242,18.0
243,20.0
244,17.0
245,26.0
246,26.0
247,30.0
248,19.0
249,37.0
250,23.0
251,18.0
252,19.0
253,24.0
254,16.0
255,18.0
256,18.0
257,20.0
258,17.0
259,17.0
260,19.0
261,18.0
262,18.0
263,19.0
264,14.0
265,19.0
266,18.0
267,20.0
268,20.0
269,44.0
270,23.0
271,15.0
272,23.0
273,17.0
274,19.0
275,20.0
276,10000.0
277,20.0
278,24.0
279,17.0
280,28.0
281,20.0
282,24.0
283,23.0
284,19.0
285,21.0
286,25.0
287,25.0
288,21.0
289,16.0
290,20.0
291,23.0
292,20.0
293,23.0
294,33.0
295,19.0
296,18.0
297,20.0
298,18.0
299,18.0
300,17.0
301,19.0
302,10000.0
303,22.0
304,18.0
305,20.0
306,22.0
307,19.0
308,20.0
309,24.0
310,18.0
311,19.0
312,25.0
313,14.0
314,23.0
315,22.0
316,23.0
317,17.0
318,25.0
319,14.0
320,21.0
321,33.0
322,22.0
323,23.0
324,23.0
325,21.0
326,27.0
327,18.0
328,16.0
329,27.0
330,37.0
331,22.0
332,19.0
333,29.0
334,19.0
335,18.0
336,18.0
337,23.0
338,22.0
339,18.0
340,18.0
341,19.0
342,22.0
343,19.0
344,20.0
345,18.0
346,10000.0
347,16.0
348,14.0
349,19.0
350,20.0
351,52.0
352,22.0
353,10000.0
354,10000.0
355,23.0
356,20.0
357,21.0
358,18.0
359,21.0
360,25.0
361,26.0
362,10000.0
363,25.0
364,15.0
365,16.0
366,19.0
367,16.0
368,17.0
369,21.0
370,10000.0
371,27.0
372,15.0
373,19.0
374,20.0
375,28.0
376,31.0
377,22.0
378,16.0
379,10000.0
380,20.0
381,15.0
382,16.0
383,19.0
384,19.0
385,22.0
386,20.0
387,14.0
388,20.0
389,17.0
390,21.0
391,22.0
392,17.0
393,18.0
394,16.0
395,22.0
396,23.0
397,26.0
398,22.0
399,17.0
400,20.0
401,20.0
402,20.0
403,25.0
404,41.0
405,10000.0
406,20.0
407,23.0
408,26.0
409,10000.0
410,34.0
411,19.0
412,32.0
413,20.0
414,19.0
415,26.0
416,16.0
417,15.0
418,16.0
419,19.0
420,21.0
421,19.0
422,20.0
423,19.0
424,14.0
425,21.0
426,18.0
427,19.0
428,16.0
429,14.0
430,21.0
431,18.0
432,15.0
433,20.0
434,14.0
435,19.0
436,23.0
437,20.0
438,23.0
439,30.0
440,23.0
441,14.0
442,20.0
443,17.0
444,22.0
445,18.0
446,20.0
447,23.0
448,22.0
449,30.0
450,21.0
451,36.0
452,22.0
453,17.0
454,16.0
455,24.0
456,19.0
457,27.0
458,19.0
459,23.0
460,21.0
461,20.0
462,20.0
463,13.0
464,17.0
465,20.0
466,22.0
467,28.0
468,16.0
469,25.0
470,19.0
471,18.0
472,18.0
473,23.0
474,18.0
475,14.0
476,18.0
477,18.0
478,17.0
479,20.0
480,19.0
481,26.0
482,28.0
483,23.0
484,17.0
485,15.0
486,21.0
487,21.0
488,23.0
489,19.0
490,28.0
491,20.0
492,19.0
493,15.0
494,17.0
495,23.0
496,17.0
497,23.0
498,28.0
499,34.0
500,22.0
501,25.0
502,24.0
503,18.0
504,21.0
505,18.0
506,18.0
507,20.0
508,19.0
509,18.0
510,15.0
511,17.0
512,14.0
513,15.0
514,19.0
515,18.0
516,19.0
517,20.0
518,18.0
519,16.0
520,19.0
521,18.0
522,18.0
523,27.0
524,14.0
525,29.0
526,23.0
527,29.0
528,25.0
529,20.0
530,21.0
531,22.0
532,32.0
533,20.0
534,22.0
535,10000.0
536,19.0
537,23.0
538,13.0
539,17.0
540,21.0
541,25.0
542,21.0
543,14.0
544,19.0
545,22.0
546,16.0
547,14.0
548,15.0
549,16.0
550,17.0
551,14.0
552,15.0
553,22.0
554,16.0
555,18.0
556,19.0
557,17.0
558,26.0
559,20.0
560,14.0
561,21.0
562,20.0
563,20.0
564,35.0
565,18.0
566,24.0
567,20.0
568,22.0
569,18.0
570,26.0
571,27.0
572,20.0
573,17.0
574,25.0
575,20.0
576,20.0
577,15.0
578,16.0
579,18.0
580,17.0
581,15.0
582,17.0
583,18.0
584,18.0
585,14.0
586,24.0
587,19.0
588,19.0
589,19.0
590,15.0
591,17.0
592,28.0
593,18.0
594,24.0
595,19.0
596,15.0
597,21.0
598,19.0
599,22.0
600,35.0
601,27.0
602,17.0
603,24.0
604,21.0
605,27.0
606,19.0
607,18.0
608,22.0
609,19.0
610,18.0
611,18.0
612,27.0
613,24.0
614,20.0
615,18.0
616,18.0
617,22.0
618,24.0
619,18.0
620,19.0
621,17.0
622,17.0
623,15.0
624,18.0
625,19.0
626,14.0
627,14.0
628,15.0
629,15.0
630,17.0
631,22.0
632,32.0
633,28.0
634,20.0
635,19.0
636,20.0
637,14.0
638,18.0
639,18.0
640,18.0
641,19.0
642,20.0
643,19.0
644,21.0
645,22.0
646,31.0
647,25.0
648,21.0
649,31.0
650,22.0
651,19.0
652,15.0
653,27.0
654,21.0
655,21.0
656,29.0
657,30.0
658,17.0
659,20.0
660,26.0
661,24.0
662,18.0
663,18.0
664,14.0
665,16.0
666,18.0
667,18.0
668,15.0
669,18.0
670,20.0
671,17.0
672,20.0
673,19.0
674,14.0
675,19.0
676,14.0
677,13.0
678,28.0
679,20.0
680,17.0
681,18.0
682,22.0
683,22.0
684,19.0
685,13.0
686,20.0
687,17.0
688,18.0
689,25.0
690,20.0
691,20.0
692,20.0
693,20.0
694,22.0
695,10000.0
696,17.0
697,37.0
698,25.0
699,23.0
700,25.0
701,21.0
702,21.0
703,26.0
704,19.0
705,19.0
706,19.0
707,23.0
708,19.0
709,20.0
710,25.0
711,18.0
712,27.0
713,22.0
714,21.0
715,20.0
716,15.0
717,19.0
718,16.0
719,15.0
720,21.0
721,19.0
722,16.0
723,21.0
724,20.0
725,19.0
726,22.0
727,17.0
728,18.0
729,24.0
730,14.0
731,21.0
732,19.0
733,18.0
734,13.0
735,22.0
736,15.0
737,21.0
738,19.0
739,16.0
740,18.0
741,20.0
742,15.0
743,21.0
744,17.0
745,19.0
746,16.0
747,19.0
748,17.0
749,19.0
750,10000.0
751,22.0
752,27.0
753,24.0
754,25.0
755,20.0
756,22.0
757,22.0
758,26.0
759,24.0
760,17.0
761,26.0
762,21.0
763,25.0
764,28.0
765,10000.0
766,20.0
767,22.0
768,24.0
769,20.0
770,26.0
771,22.0
772,21.0
773,22.0
774,23.0
775,21.0
776,26.0
777,23.0
778,20.0
779,16.0
780,23.0
781,35.0
782,26.0
783,22.0
784,17.0
785,15.0
786,17.0
787,19.0
788,22.0
789,22.0
790,19.0
791,20.0
792,15.0
793,20.0
794,16.0
795,16.0
796,18.0
797,19.0
798,19.0
799,18.0
800,17.0
801,24.0
802,24.0
803,15.0
804,16.0
805,21.0
806,22.0
807,19.0
808,16.0
809,22.0
810,21.0
811,19.0
812,20.0
813,22.0
814,22.0
815,19.0
816,23.0
817,20.0
818,20.0
819,15.0
820,22.0
821,17.0
822,15.0
823,22.0
824,10000.0
825,17.0
826,19.0
827,22.0
828,26.0
829,26.0
830,19.0
831,24.0
832,22.0
833,35.0
834,26.0
835,21.0
836,20.0
837,24.0
838,19.0
839,21.0
840,25.0
841,33.0
842,27.0
843,23.0
844,20.0
845,21.0
846,18.0
847,10000.0
848,21.0
849,22.0
850,30.0
851,20.0
852,23.0
853,24.0
854,21.0
855,27.0
856,28.0
857,22.0
858,17.0
859,18.0
860,16.0
861,20.0
862,19.0
863,22.0
864,19.0
865,20.0
866,16.0
867,16.0
868,20.0
869,19.0
870,22.0
871,15.0
872,17.0
873,24.0
874,15.0
875,19.0
876,21.0
877,27.0
878,19.0
879,17.0
880,18.0
881,22.0
882,16.0
883,16.0
884,25.0
885,18.0
886,20.0
887,31.0
888,22.0
889,17.0
890,22.0
891,20.0
892,22.0
893,20.0
894,16.0
895,16.0
896,19.0
897,23.0
898,23.0
899,22.0
900,17.0
901,22.0
902,19.0
903,17.0
904,21.0
905,21.0
906,21.0
907,28.0
908,19.0
909,21.0
910,20.0
911,20.0
912,35.0
913,21.0
914,34.0
915,40.0
916,21.0
917,19.0
918,19.0
919,26.0
920,19.0
921,26.0
922,28.0
923,10000.0
924,20.0
925,28.0
926,17.0
927,20.0
928,19.0
929,18.0
930,15.0
931,17.0
932,16.0
933,22.0
934,16.0
935,15.0
936,16.0
937,20.0
938,19.0
939,29.0
940,19.0
941,17.0
942,25.0
943,23.0
944,18.0
945,19.0
946,19.0
947,23.0
948,20.0
949,18.0
950,21.0
951,19.0
952,20.0
953,22.0
954,20.0
955,20.0
956,26.0
957,26.0
958,22.0
959,25.0
960,19.0
961,16.0
962,19.0
963,22.0
964,28.0
965,19.0
966,23.0
967,24.0
968,20.0
969,24.0
970,21.0
971,17.0
972,22.0
973,24.0
974,23.0
975,22.0
976,20.0
977,21.0
978,24.0
979,22.0
980,22.0
981,21.0
982,23.0
983,19.0
984,10000.0
985,24.0
986,19.0
987,25.0
988,21.0
989,21.0
990,18.0
991,10000.0
992,22.0
993,22.0
994,30.0
995,34.0
996,24.0
997,24.0
998,30.0
999,21.0
1000,20.0
1001,18.0
1002,16.0
1003,18.0
1004,21.0
1005,22.0
1006,19.0
1007,16.0
1008,18.0
1009,19.0
1010,15.0
1011,22.0
1012,16.0
1013,19.0
1014,20.0
1015,17.0
1016,22.0
1017,18.0
1018,19.0
1019,20.0
1020,17.0
1021,15.0
1022,30.0
1023,18.0
1024,21.0
1025,21.0
1026,16.0
1027,25.0
1028,19.0
1029,20.0
1030,19.0
1031,15.0
1032,22.0
1033,17.0
1034,22.0
1035,19.0
1036,25.0
1037,22.0
1038,19.0
1039,26.0
1040,27.0
1041,18.0
1042,21.0
1043,29.0
1044,22.0
1045,21.0
1046,20.0
1047,27.0
1048,23.0
1049,21.0
1050,25.0
1051,10000.0
1052,20.0
1053,20.0
1054,27.0
1055,21.0
1056,22.0
1057,20.0
1058,17.0
1059,22.0
1060,28.0
1061,20.0
1062,25.0
1063,22.0
1064,27.0
1065,16.0
1066,16.0
1067,15.0
1068,16.0
1069,19.0
1070,15.0
1071,20.0
1072,20.0
1073,19.0
1074,17.0
1075,20.0
1076,19.0
1077,19.0
1078,20.0
1079,20.0
1080,20.0
1081,21.0
1082,19.0
1083,19.0
1084,16.0
1085,20.0
1086,21.0
1087,21.0
1088,22.0
1089,18.0
1090,20.0
1091,22.0
1092,18.0
1093,20.0
1094,22.0
1095,21.0
1096,18.0
1097,24.0
1098,21.0
1099,21.0
1100,18.0
1101,20.0
1102,22.0
1103,21.0
1104,20.0
1105,23.0
1106,19.0
1107,23.0
1108,22.0
1109,25.0
1110,21.0
1111,20.0
1112,19.0
1113,41.0
1114,22.0
1115,20.0
1116,49.0
1117,22.0
1118,22.0
1119,20.0
1120,25.0
1121,22.0
1122,10000.0
1123,34.0
1124,23.0
1125,22.0
1126,19.0
1127,28.0
1128,22.0
1129,22.0
1130,20.0
1131,21.0
1132,25.0
1133,23.0
1134,23.0
1135,21.0
1136,25.0
1137,25.0
1138,22.0
1139,18.0
1140,20.0
1141,25.0
1142,23.0
1143,22.0
1144,29.0
1145,35.0
1146,23.0
1147,17.0
1148,30.0
1149,23.0
1150,29.0
